Tweet original,Human subject sentiment,LabMT sentiment,WSUV sentiment,Combined,TravelMT,Vader Sentiment Regular,Vader Sentiment Regex
"#ttot Forgot to check-in online?Not to worry,utilize self-checkin machines in the parkades &amp;terminal then do a bag drop with your airline",6.022222222,5.069411765,5.8609887,5.091330822,5.091330822,3.9072,2.5504
#Udaipur Lake Palace #Rajasthan #photo great #wedding &amp; #honeymoon destination #travel #ttot #road2travel 4 more https://t.co/jlRg0Qm8ls,5.173913043,6.6,6.945455771,6.867071796,6.897597984,7.4996,7.4996
#ValentinesDay is coming you can submit your #Cyprus #events here https://t.co/DHFf0to0VA it's free. #happylife #travel #love #dinner #ttot,5.804347826,5.79,6.733202121,6.111455509,6.253806304,7.0424,7.0424
@findery I could use a week at an all inclusive resort right now! Can't wait to hear your tips #finderychat #ttot,6.177777778,5.456470588,5.07943074,5.312706775,5.305052551,5,5
@LeightonDennyEN Blood donor for British crash victim in #Thailand needed asap! Please share! #LucyHill #ttothttps://t.co/Gtyaw32xbx,2.956521739,4.858,5.268604651,4.964947146,4.981014799,4.11,4.11
@passion_4travel A First Time Visitors Guide to New York City https://t.co/luJufxC5Mk #ttot #travel,5.739130435,5.906,6.210018885,5.992011331,6.024358407,5,5
@sthi1285 @travelabouts We're on Curacao right now and I wonder if there's some kind of regulation when we come back to the US. #zika #ttot,4.311111111,5.596,5.790019865,5.569529485,5.569529485,5,5
@TK_INDIA Don't lie. You are the worst airline company and worst customer service of the world. https://t.co/1fUgAEQdmy,3.739130435,4.750666667,4.156908152,4.677429928,4.659543749,1.6076,1.6076
@tuiindia amazing ad! Spread that #wanderlust and get everyone #adventuring :)   https://t.co/569n13R8fe,5.956521739,5.751428571,7.395238095,5.923809524,5.923729675,8.1836,7.4956
@zamlos we headed to there in the fall (https://t.co/BkPD1mhyEu) - looks just as beautiful this time of year!  https://t.co/tHtnAykkaA,6.866666667,5.518666667,5.993546748,5.578279133,5.554701897,7.544,7.544
"[New] I wanted to like #Oamaru a lot, but it was a struggle - read on. #NZ #travel #ttot https://t.co/B8QJuTRFqq https://t.co/zN5wPtOULM",3.586956522,5.318571429,5.939786586,5.369939024,5.391830644,3.816,3.816
{ Superb Junior Suite #opera view@GHBordeaux #Bordeaux @BordeauxTourism } #ttot #lp #vacation #trip #luxuryhotel https://t.co/AFrcJZZXMq,6.090909091,5.8,7.709652108,6.945791265,6.39170097,7.4996,7.4996
2015 wasn't anything I expected it to be in the best way possible!What was bad became the greatest year yet! #ttot  https://t.co/uE8CczsbOe,6.955555556,5.304,4.871764399,5.27076466,5.27076466,8.0272,8.0272
4 hours to spend in Munich - any ideas or recommendations? Travelling without baby (whoop whoop) so can be a tiny bit alcohol related #ttot,6.022222222,5.407777778,5.310391321,5.231818847,5.231818847,5,5
A good read about #Amsterdam sights and eats from fellow #travel blogger @passport_plates :)  https://t.co/eWBZaX175L,6.326086957,5.78,6.804836665,6.161154721,6.131640212,7.8384,6.7616
"A jeep water fight in Marmaris, Turkey. #ttot #travel #travelblog #travelblogger https://t.co/C51At4YNj6",5,5.417142857,6.047717323,5.515398513,5.610072437,3.4728,3.4728
A1: I thought #Turkey was very budget friendly. As a South African only 5 times to our Rand is always good! #ttot https://t.co/7ln6HJcOWP,5.488888889,5.755555556,5.948128204,5.65605398,5.615391775,8.0792,8.0792
"Absolutely love this shot by @iancook57, #photography #picoftheday #love #travel  @PhotographyFest @ukphotoshow  https://t.co/udCcISPUWZ",6.681818182,5.486666667,6.560306472,6.218016145,6.299051058,7.6788,7.6788
Avoid overwhelm with your #grouptravel planning #ttot https://t.co/kerSZv6g34,4.739130435,5.155,4.477106227,5.068553114,5.068553114,3.2384,3.2384
Beautiful Morning at Maldoli village. #travel #ttot https://t.co/CUIvNJV9rP,7.136363636,6.264,7.011033682,6.588826945,6.579391772,7.3976,7.3976
"Beautiful Nyinabulitwa Crater Lake, Fort Portal, western #Uganda. #travel #nature #adventure #visituganda #africa https://t.co/AIxeCOln9D",5.52173913,6.42,6.941491496,6.941491496,6.597492749,7.3976,7.3976
Beautiful photo by beautiful person! https://t.co/D5JPNnOAEQ,6.795454545,6.648,7.918505614,6.855103368,6.672797463,8.3756,8.3756
Beautiful picture and poignant quote... https://t.co/7IQUxTO6dZ,6.5,6.31,7.811131958,6.575565979,6.432151344,7.3976,7.3976
Bit of a mad design this airport #AbuDhabi #ttot #travel #UAE https://t.co/JuIlIdQWNP,4.933333333,5.03,5.368140244,5.070284553,5.145654265,3.0244,3.0244
Blogged my trip to Copenhagen at long bloody last!https://t.co/qOF50CpSQl #TbloggersUK #travel #ttot,5.956521739,5.015,6.655489623,5.482439832,5.496273824,3.0296,3.0296
"Blue Sky, Sunshine, Clean Beach, crystal Clear waters #Eritrea well-don Matt thank you!! https://t.co/jJ1EV9CgS8",7.782608696,6.750909091,7.204994193,6.707270616,6.534740128,8.5624,8.5624
Bodo library Norway. Queens College Oxford. Stourhead House Wiltshire https://t.co/YIql57PcKH,5.282608696,6.38,6.591605219,6.45720174,6.465699056,5,5
Can't believe back to work tomorrow bring on the #commute #travel #ttot #trlt,3.217391304,5.32,4.735549748,5.033531658,5.011977535,5,5
can't wait to see you live again this year for the 2nd time. Your the only reason why   https://t.co/AyvIo73Yju,6.088888889,5.221111111,4.695698087,5.083010473,5.083010473,5,5
Courage means you don't let fear stop you. #TravelTuesday #ttot #StPatricksDay https://t.co/w6GW2lDJwt https://t.co/cs6S0VJY3S,6.217391304,5.11,3.836013289,4.944451827,4.87679402,8.0912,8.0912
Darling Harbour - expensive tourist trap. Bondi Beach - yuck. We have to stop telling travellers they're must sees. https://t.co/VJFSCETCaF,3,5.27,5.03421353,5.168346723,5.181526995,5.3088,5.3088
Didn't realize this. Added to my #shark bucket list!  https://t.co/jOcnpuiVNC,5.5,5.325,4.159429582,5.037286093,4.937587638,5,5
Discover rich culture &amp; heritage of Golden Triangle cities with scenic beauty of Goa.https://t.co/fKOlveSUgv #ttot https://t.co/cCNtP7ipzy,6.659090909,6.446,7.091548473,6.618661355,6.487552856,8.2504,8.2504
Don't let a disability stop you from adventure! https://t.co/14MTyH1Zli,5.847826087,5.277142857,4.606496862,5.12278437,5.15948326,7.1572,7.1572
Don't let your 2016 vacation days go to waste!Find out how I plan to use mine: https://t.co/gWXAvREG59 #travel #ttot https://t.co/5KvaAIBmxU,5.782608696,5.383529412,6.0410572,5.431023553,5.429036963,5,5
Enter to #win a 7 Night European River Cruise #Sweepstakes from @Auto_Europe #ttot #rivercruise #giveaway https://t.co/FkP71cpehm Enter once,6.043478261,5.756,6.648803947,6.167633501,6.151226156,5,5
EU border controls: Schengen passport-free travel zone on the brink of collapse #Europe #travel #ttot https://t.co/KfXAHPEAZ3,3.347826087,5.126,6.70326767,5.484824607,5.483541007,3.0244,3.0244
Fear Flying? Forget breathing exercises in which you try to escape. Read  https://t.co/j0qGgPogYa #travel #rt #ttot https://t.co/WEbC86M5N1,4.434782609,5.390769231,5.25567215,5.539540992,5.514322541,2.8932,2.8932
"Fes, the Athens of Africa: A Photo Journal. feat. @cafeclock @airbnb and how to avoid scams. #travel #morocco #ttot https://t.co/TCRAQxqqTz",5.244444444,5.198333333,5.850054921,5.467166395,5.52210534,2.1264,2.1264
Follow @the_hostelgirl to see what it's really like in the Worst Hotel in the world!  https://t.co/7xT1yZIIry,2.347826087,5.37,5.372554898,5.480198178,5.430654911,3.4736,3.4736
"For smooth travels all through the year, don't forget these must-pack accessories. https://t.co/lqHurdQLRh #ttot https://t.co/xVelRbzUHI",6.347826087,5.137777778,4.596980256,5.232792102,5.225657956,5.678,5.678
"Fraser Island, low tide #fraserisland #queensland #kingfisherbay #seeaustralia #australia #ttot #travel https://t.co/SEr5OvZGl1",6.318181818,5.51,6.262088147,6.208406789,6.266875497,3.9072,3.9072
From missing your flight to losing your passport: how to deal with common travel disasters.https://t.co/pDiEqekvP7   #travel #ttot,6.760869565,5.177142857,6.510310329,5.426790798,5.418026392,2.6564,1.7496
fuckin earthquake scared the shit outta me https://t.co/j5fkqcR2UM https://t.co/qubIAd4oEl,2.434782609,3.851428571,2.268292683,3.806898955,3.806898955,6.0928,6.0928
Good morning! lovely day here in Maldives Islands #travel #January and save more... #ttot #beaches #surfing #diving #spa,6.97826087,6.230909091,6.889087014,6.547997143,6.5102748,8.522,8.522
Good tips on saving money for your travels. In the end it all comes down to priorities. Is travel a priority or not? https://t.co/ZfOQuIO2Rt,5.2,5.548571429,5.690273811,5.415112014,5.40389057,6.7616,6.7616
Great hacks for first time family campers! https://t.co/pcg5phG7ys,5.913043478,6.676,6.038344948,5.901954123,5.991239837,7.6352,7.6352
"Great list! 13 cities, short &amp; sweet. For 20, I'd add Tokyo Berlin Rio Buenos Aires Sydney &amp; S Africa #lovecitylife https://t.co/To1pftXnjI",6.630434783,5.737142857,6.194752341,6.010162553,6.005349157,8.2488,8.2488
"Guardian's Best Beaches in the World; very good taste, #BCTourism  No.33 #ChestermanBeach No.47 #EnglishBay https://t.co/vNr4Mdc43x",6.413043478,5.6025,7.603658536,5.950108401,5.935203252,8.2488,7.446
Have you ever stayed at a jail #hotel ? Read about our experience in #switzerland ! Newest post on https://t.co/RmALD7OPNa #lucerne #ttot,4.266666667,5.461333333,6.508294574,5.654204286,5.682485017,5,5
Head to Kerala This Holiday Season! https://t.co/T4PczpXb8b #Kerala #travel #ttot #holidays,6.181818182,5.883333333,6.248378614,5.975405589,6.034905113,6.8296,6.8296
"Here's 15 (+4) reasons to visit #vienna 's dirty, little secret, the 15th district: https://t.co/o5GvJPyrcs #ttot https://t.co/fT0GdyKIyn",5.347826087,4.96,5.950933666,5.309600181,5.265594367,3.2384,3.2384
Hi! I'm on a little pause here while spending family time in #CostaRica. Back soon w/ great stuff. Stay tuned! #ttot https://t.co/cRtd2SCXVC,6.444444444,5.755789474,5.630838178,5.566668707,5.594864195,7.7568,7.7568
"Holiday in Ubud? Get this amazing 20% discount! Galungan-Kuningan Giveaway,Yeay!      https://t.co/s4soqLBLKy",5.695652174,6.485714286,7.285429639,6.613393525,6.529029582,8.3236,8.3236
"Hotel Review: Hotel Nazionale, Portofino, Italy | Saves Lives Will Travel #BlogArchive #travel #ttot #Italy https://t.co/jlOxnSVKxd",5.586956522,6.142222222,7.120241147,6.846168803,6.749954794,5,5
"Hotel Review: Pumphouse Point, Lake St Clair https://t.co/vl843h2UVE #ttot #hotel #review #travel #alluxia https://t.co/KWIAnjLenh",5.772727273,5.696666667,6.330248201,6.148967176,6.187277509,5,5
How To Choose Good Walking Shoes https://t.co/dnMTc1MqI5 #blog #travel #traveltips #ttot #travelblog,5.295454545,5.814285714,6.314184569,6.017347655,6.073737044,6.7616,6.7616
https://t.co/rQTqb9HdOe 44% Discount US$83 Double Room 2 stars Midtown Inn #Miami #USA - #traveltips #ttot #socialmedia,5.108695652,6.231428571,6.321654514,6.261353693,6.363335218,5,5
"I also saw Iceland on a list as one of the most heavily threatened tourism destinations, due to volume of visitors https://t.co/xIEMSSrx1o",3.577777778,5.188888889,6.334941438,5.394986057,5.387613677,2.972,2.972
I can't wait to follow along with @SilverSpoonLDN's 2016 travel hijinks...  https://t.co/RBV1zKHnUw #travellinkup #ttot,5.565217391,5.2625,4.502128176,5.013564088,4.982409389,5,5
"I lived in Malaysia and I LOVE Borneo, especially Sarawak laksa, Bako National Park, and Bario.  https://t.co/0Rw9abSCbs",6.488888889,6.124,6.358035714,5.926558442,5.932775689,7.85,7.85
I think this is where I would love to spend my final days. So beautiful. https://t.co/EvVv2ZMjj0,6.466666667,5.804,6.811486948,5.811063186,5.767442091,8.4212,8.4212
It's #TravelTuesday what a better place to spend it than at Darkwood Beach in #AntiguaAndBarbuda #Caribbean #ttot https://t.co/Z7FcssXMmb,6.782608696,5.466666667,6.225793651,5.681054422,5.69843697,6.7616,6.7616
Kids travel for free! More to know on public transit in #Berlin: https://t.co/VdoCXcWG8M #ttot https://t.co/PZhKFczgxD,6.673913043,6.034545455,6.408993414,5.893747256,5.834961371,7.2248,7.2248
Looking forward to our next QuickTrip!  @turksandcaicos - can't wait to see your beautiful self!  #ttot #travel.,6.847826087,5.564615385,5.343658537,5.555253283,5.551624371,7.6752,7.6752
Lose yourself in @VeganWorldTrekr's one year worth of #vegantravel reviews https://t.co/f3GpPZdW7C #veganism #ttot https://t.co/qVo3q6MaB0,5.555555556,5.2875,4.438425802,5.014855912,5.180998615,4.1908,4.1908
"Love, love, love that castle! https://t.co/SaxZaWv5bL",7.108695652,7.308,7.873323171,7.286658537,7.105075557,8.7248,8.7248
Lovely having you @fit_travels - please come back any time you need to relax! #crownlanta #kohlanta #travel https://t.co/jpVrgBGZfq,6.847826087,5.929230769,6.503083624,5.999647548,5.988424603,8.4064,8.4064
"Lytton (Blue Sky Country) - BC, Canada by @awr24 | https://t.co/PR8KrrB7wZ | #ttot https://t.co/QPFTe4gl8t",5.326086957,5.906666667,6.612105722,6.034737148,6.031760957,5,5
Mile High Fight Club? #travel #ttot  https://t.co/dOGt96Hc81,4.413043478,5.18,6.114368096,5.431494476,5.49279101,3.4728,3.4728
Most Beautiful Travel Quotes to Inspire Wanderlust - https://t.co/SBdkqtxmvF #inspiration #ttot #travel #life,6.636363636,6.382857143,7.151219565,6.840975652,6.810111143,8.3428,8.3428
Moving to Italy: Important Road Trip https://t.co/BU6rmXAlZy via italyandson #Italy #family #TravelTuesday #travel #ttot #travelblogger,6.318181818,5.8325,6.659231313,6.406026095,6.550039049,5.8092,5.8092
Never too early to start #travel plans: 14 places in #America to visit in 2016 https://t.co/W5jciW7eZN #ttot #family #USA via @USATODAY,6.304347826,5.470769231,6.865247447,5.982798639,6.000294948,5,5
NEW BLOG POST: Spend New Year discovering charming Northern Morocco https://t.co/XUO4P8s5YP #travelblogger #ttot #lp https://t.co/WiqG6DlDE1,5.608695652,5.825714286,6.115733131,6.243781653,6.283919326,7.3436,7.3436
Nuremberg Castle- Guide &amp; Photo Tour https://t.co/jhTc83oOIz #Germany #travel #ttot https://t.co/JNws027RCo,6.386363636,6.325,6.78946615,6.78946615,6.884897838,5,5
On my bucket list a great spot @crazyintherain #MarinaBaySands  https://t.co/CeJl6R1dC7,6.413043478,5.84,5.991955907,5.846831947,5.846831947,7.4996,7.4996
Outer Shores Expeditions debuts Southern Gulf Islands experience. @OuterShores #ttot #bc  https://t.co/Dv2BXDqqmq https://t.co/ZLLhjjRek5,6.130434783,5.98,6.946659284,6.359996309,6.157787534,5,5
Planning to visit Rhodes this summer? Read @thislifeintrips review about our resort https://t.co/EzMs9L0rbR #travel #ttot #holiday #vacation,5.652173913,5.907272727,6.910413145,6.421055254,6.440740721,5,5
Planning your summer break?Make it meaningful with us! #ttot #travel #vacay #vacation #holiday #tourism #wanderlust,6.065217391,5.762222222,6.76128789,6.419353154,6.520268091,6.5208,6.5208
"Prehistoric Rock-Art Sites Of The Coa Valley, Portugal Tourist Information  https://t.co/9fHpDkxDNH #ttot #Travel",5.636363636,5.785714286,6.39499025,6.036242688,6.115103617,5,5
Quick Guide: The Monkey Temple in #Nepal #Himalayas https://t.co/73d7RtSvRN #tbex #travel #ttot #culture https://t.co/7GFOU386V9,6.090909091,5.811428571,6.138002503,5.954223891,6.030621801,5,5
Read Miss Mellisa's funny illustration of her misadventures and travel nightmares.  https://t.co/we7dK6EiXo,6,5.597777778,5.499937343,5.504423559,5.470369929,6.2728,6.2728
RT @lifefrance  Weekly newsletter and round up of fantastic features from #France: https://t.co/QN4fQQSZOK #ttot,5.888888889,5.66,6.378862734,5.807431367,5.821329484,7.2296,7.2296
RT @MiddleSeatView **New Post** Hotel Review: Saddlebrook Resort https://t.co/j2gF4mG786 #lp #ttot,5.022727273,5.865,6.678848283,6.229136213,6.043972176,5,5
"RT @shimlalife: One fine day at Colorful Shimla! If you feel lost, #travel to a new place. #ttot #WomensDay... https://t.co/GPNd6u2TgG",6.608695652,5.427142857,6.021485951,5.73259438,5.753026558,4.1988,4.1988
SCARY stuff!!!  More hotels in #SouthAfrica are increasing their rates.  #rand #zar  #currency #ZumaMustFall #ttot #travel,3.086956522,5.338,5.619571618,5.376168917,5.425398531,2.1952,2.1952
Seductive Souks &amp; Desert Sunsets: Finding Romance in Morocco https://t.co/VD7FMQZjHI #travelblog #ttot https://t.co/QvUwshkgBp,5.913043478,5.8,6.329256232,6.378040165,6.499761578,7.2296,7.2296
"Silverdale, Washington hotel offers spectacular water views! https://t.co/zK7bdn0xLH #ttot #travel #traveltips https://t.co/fQK1hGnwod",6.369565217,6.16,7.186791053,7.186791053,7.244070979,5,5
Some fun things to do in #Malaga if you're looking for a bit of excitement and #adventure! https://t.co/MLOvC0Jxqg https://t.co/Lq6L5pAXJK,6.533333333,5.577333333,6.368406405,5.746377002,5.702501115,8.1108,8.1108
"something broke on austins truck, and we lost control and spun all the way around int https://t.co/RPWrtmnFGj https://t.co/WjLejSj6n0",2.666666667,5.046153846,1.7234827,4.903612723,4.903612723,2.5004,2.5004
Take me back to land of ice and fire... #Iceland #travel #adventure #photography #ttot #travelphotography https://t.co/ouWZvcFll2,6.847826087,5.352,6.005864124,5.782341223,5.732318484,5,3.64
That moment where I panic and think I've lost an entire day b/c my computer is still on European time. #ttot #globalnomad #travel,4.822222222,5.341904762,5.682849405,5.445711706,5.460306119,2.2768,2.2768
That's the right kinda crazy:) A joyous journey verses a ruthless competition. Winning is getting there together. https://t.co/5TfiyKemFm,6.239130435,5.742857143,5.757590214,5.702168633,5.690608482,8.2128,7.9128
The Great Ocean road from a Drivers Perspective #ttot #travel #Greatoceanroad #Melbourne #driver #tourist https://t.co/rNZsXduTg0,6.52173913,5.893333333,7.124315996,6.379184331,6.280670829,7.4996,7.4996
The Original Bad Ass Female Backpackers #ttot #travelchat #girlpower https://t.co/70Ty51IIFr https://t.co/XY97B2Tu2G,6.239130435,4.944,4.929062114,4.99786439,4.983975502,2.2368,2.2368
The tea garden in Munnar you can't miss it... #munnar  #teagarden #kerala #photography #ttot #nature #landscape https://t.co/4ti5YYozC1,6.108695652,5.335,5.56938945,5.524592966,5.545939753,5.4556,5.4556
The travelling bug is starting to kick in again. https://t.co/DXcQelkova,5.543478261,4.9775,6.25,4.94625,4.94625,5,5
The ultimate adrenaline rush in travel adventures. https://t.co/UppqWGOX3Q,6.369565217,5.664,7.531415749,6.199041208,6.145455563,6.36,6.36
The ultimate guide to experiencing Burning Man all year long in #Reno! https://t.co/UNWI2tdICL | #travel #ttot https://t.co/be4hMuhP1i,5.8,5.352727273,6.192391988,5.658895326,5.698757727,5,5
Theoxenia Palace #Hotel #Athens. A Small Luxury Hotels of the World - https://t.co/h9KkrS7RYt  #travel #resort #ttot https://t.co/wG9PpEWKps,5.826086957,5.788888889,6.761737674,6.334636588,6.373923137,5,5
"Thinking about a @DisneyCruise? What you need to know via @TravelBabbo, the good and the bad: https://t.co/a3cHacnNy2 #familytravel #ttot",5.288888889,5.282857143,5.700193798,5.37605168,5.236245847,4.3876,4.3876
thinking of renting out your holiday home?  https://t.co/O4mMEt2QiY https://t.co/xPEmNgbZqc,5.130434783,6.043333333,7.008196257,6.030764795,6.038894876,6.6076,6.6076
This photo is killing me as I'm sitting at my desk in London... Anyone want to go to Koh Rong??  #wanderlust  https://t.co/5jXSN2g6Zr,5.155555556,5.363333333,6.372857143,5.454962406,5.486306424,2.3352,2.3352
Tipping cheat sheet: who to tip &amp; how much https://t.co/boKqYKTyxF #ttot https://t.co/mTaSbPmewd,5.52173913,4.952857143,5.829268293,4.894181185,4.894181185,3.1648,3.1648
Too bad it's like 100 bucks a day to rent a car and otherwise impossible to get to these spots. https://t.co/zfHIcwkW0a,2.955555556,5.128421053,4.908987414,5.152311815,5.152311815,4,4
"Travelling, meeting locals and a free tent pitch? @PitchPlaces #travel #ttot",5.522727273,5.86,6.50206679,6.012609594,6.007231308,7.0424,7.0424
Ultimate Travel Gear and Trip Packing Guide 2016 - https://t.co/u1LTTIM1aD #travelgear #trippacking #travel #ttot #howtopack #rtw #worldtrip,5.909090909,6.04,6.451383872,6.328245485,6.315105479,5,5
We are back! Can't wait to share all our favourite #Africa experiences with you! #ttot #travel,7.239130435,5.645714286,5.14745361,5.598145018,5.610146963,3.5788,3.5788
Weird street #food around the world. I'm in #10! #travel #ttot #rtw #southafrica #foodie https://t.co/KaNnnNpwK0,5.804347826,5.4575,6.135753,5.943481417,5.968358274,4.0076,4.0076
Why Villager was lying in dark cold water above the Arctic Circle #Sweden #ttot https://t.co/LotHiAGITO #oas_2015 https://t.co/d8PAAVtoir,3.630434783,4.892,5.505971483,5.109444176,5.015164796,2.8932,2.8932
"Why You Should Avoid Loboc Tarsier Conservation Area in Bohol, Philippines #ttot #lp #NGTRadar https://t.co/j7Q4cZG2GU via @iAmAileen",3.065217391,5.305,4.742160279,5.342942315,5.299743193,3.816,3.816
"Winter fun at Deerfield Beach pier, Florida. #lovefl #travel #travelphotography #beach #ttot #hellosunny #florida https://t.co/iUdX6RjdNQ",6.173913043,6.51,6.841584052,6.647425647,6.617394158,7.0424,7.0424
Wonderful place to live. https://t.co/6wgIGpP3UI,7.136363636,6.285,7.444261059,6.828195794,6.828195794,7.2876,7.2876
"Wow, how cool! Experience",6,6.42,7.297157623,6.642868217,6.642868217,8,8
Wow. This new plane interior is awesome. https://t.co/SachOgjoa0,6.739130435,6.317142857,6.979503732,6.256930171,6.256930171,8.344,8.344
Yeah i heard its beautiful &lt;3 So added to my bucket list :D https://t.co/ZAo0UOYoey,6.956521739,5.63,5.894750205,5.589479252,5.560007707,8.5152,7.9076
you were born an original. don't die a copy.  #quoteoftheday #travel #wanderlust #unique #hotels #bedifferent #ttot https://t.co/YcyqBdzv6Y,5.777777778,5.084,5.753293899,5.3744313,5.593257721,7.6588,7.6588
Your Ultimate #Boracay Side Trip Travel Checklist! https://t.co/jTuah3ser5 #travel #Asia #Philippines #ttot #Antique #Romblon #wanderlust,5.239130435,6.183333333,6.577406665,6.468805925,6.533945688,5,5
Your WEST VIRGINIA PRISON OF THE DAY post now follows: Trans-Allegheny Lunatic Asylum  https://t.co/hMJeLH1w4S https://t.co/IAyd8oKSxd,3.844444444,5.222,6.055972613,5.276389045,5.276389045,1.7848,1.7848
